h_W_per_m2K,x_mm,temperature_C
14.93109243697479,11.714285714285714,30.359790119849837
14.93109243697479,12.551020408163264,30.35671864636073
14.93109243697479,13.387755102040817,30.353778333083092
14.93109243697479,14.224489795918368,30.350972600928895
14.93109243697479,15.061224489795919,30.348264522626767
14.93109243697479,15.897959183673468,30.345648283122305
14.93109243697479,16.73469387755102,30.343116915122117
14.93109243697479,17.57142857142857,30.340663103852492
14.93109243697479,18.408163265306122,30.338279942449496
14.93109243697479,19.244897959183675,30.33596062516077
14.93109243697479,20.081632653061224,30.33369853112938
14.93109243697479,20.918367346938776,30.331487954672863
14.93109243697479,21.75510204081633,30.329324265158434
14.93109243697479,22.591836734693874,30.327204606737432
14.93109243697479,23.428571428571427,30.325101121542115
14.93109243697479,24.26530612244898,30.323017893159665
14.93109243697479,25.10204081632653,30.320986939096187
14.93109243697479,25.93877551020408,30.31901614364938
14.93109243697479,26.775510204081634,30.317114101382362
14.93109243697479,27.612244897959183,30.315288424527914
14.93109243697479,28.448979591836736,30.313583350555383
14.93109243697479,29.285714285714285,30.31199519868656
14.93109243697479,30.122448979591837,30.31048838640499
14.93109243697479,30.95918367346939,30.309058584022875
14.93109243697479,31.795918367346935,30.307700278413147
14.93109243697479,32.63265306122449,30.306408169997216
14.93109243697479,33.46938775510204,30.305158808147063
14.93109243697479,34.30612244897959,30.303954284069526
14.93109243697479,35.14285714285714,30.302809586079935
14.93109243697479,35.97959183673469,30.301726025329387
14.93109243697479,36.816326530612244,30.300705919820647
14.93109243697479,37.6530612244898,30.29975213677873
14.93109243697479,38.48979591836735,30.29886776805825
14.93109243697479,39.3265306122449,30.29805586058557
14.93109243697479,40.16326530612245,30.297319083695243
14.93109243697479,41.0,30.296659304889804
15.677310924369747,0.0,30.377176711966065
15.677310924369747,0.8367346938775511,30.37282978016015
15.677310924369747,1.6734693877551021,30.368558676874564
15.677310924369747,2.510204081632653,30.364360026362043
15.677310924369747,3.3469387755102042,30.36023357005108
15.677310924369747,4.183673469387755,30.356180592483312
15.677310924369747,5.020408163265306,30.35220286917783
15.677310924369747,5.857142857142857,30.348302206772605
15.677310924369747,6.6938775510204085,30.34448039579396
15.677310924369747,7.530612244897959,30.340739492693455
15.677310924369747,8.36734693877551,30.337077506712987
15.677310924369747,9.204081632653061,30.333496489110924
15.677310924369747,10.040816326530612,30.330006281353484
15.677310924369747,10.877551020408164,30.326611431060563
15.677310924369747,11.714285714285714,30.32331640627874
15.677310924369747,12.551020408163264,30.320124676835896
15.677310924369747,13.387755102040817,30.317066101103947
15.677310924369747,14.224489795918368,30.314144066740898
15.677310924369747,15.061224489795919,30.311322059163032
15.677310924369747,15.897959183673468,30.308594319213228
15.677310924369747,16.73469387755102,30.305953976303755
15.677310924369747,17.57142857142857,30.303393794226878
15.677310924369747,18.408163265306122,30.30090694643452
15.677310924369747,19.244897959183675,30.298486715932768
15.677310924369747,20.081632653061224,30.29612654895043
15.677310924369747,20.918367346938776,30.29382082205813
